"year","category","winners","nominees"
"1932","Sound Recording","Paramount Publix Studio Sound Department","Samuel Goldwyn - United Artists Studio Sound Department, Metro-Goldwyn-Mayer Studio Sound Department, RKO Radio Studio Sound Department"
"1932","Writing (Adaptation)","Howard Estabrook - Cimarron","Seton I. Miller, Fred Niblo, Jr. - The Criminal Code, Horace Jackson - Holiday, Francis Faragoh, Robert N. Lee - Little Caesar, Joseph L. Mankiewicz, Sam Mintz - Skippy"
"1932","Writing (Original Story)","John Monk Saunders - The Dawn Patrol","Rowland Brown - The Doorway to Hell, Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart - Laughter, John Bright, Kubec Glasmon - The Public Enemy, Lucien Hubbard, Joseph Jackson - Smart Money"
"1933","Actor","Wallace Beery - The Champ, Fredric March - Dr. Jekyll and Mr. Hyde","Alfred Lunt - The Guardsman"
"1933","Actress","Helen Hayes - The Sin of Madelon Claudet","Marie Dressler - Emma, Lynn Fontanne - The Guardsman"
"1933","Art Direction","Gordon Wiles - Transatlantic","Lazare Meerson, Richard Day - Arrowsmith"
"1933","Cinematography","Lee Garmes - Shanghai Express","Ray June - Arrowsmith, Karl Struss - Dr. Jekyll and Mr. Hyde"
"1933","Directing","Frank Borzage - Bad Girl","King Vidor - The Champ, Josef Von Sternberg - Shanghai Express"
"1933","Outstanding Production","Metro-Goldwyn-Mayer - Grand Hotel","Samuel Goldwyn Productions - Arrowsmith, Fox - Bad Girl, Metro-Goldwyn-Mayer - The Champ, First National - Five Star Final, Paramount Publix - One Hour with You, Paramount Publix - Shanghai Express, Paramount Publix - The Smiling Lieutenant"
"1933","Short Subject (Cartoon)","Walt Disney, Producer - Flowers and Trees","Leon Schlesinger, Producer - It's Got Me Again, Walt Disney, Producer - Mickey's Orphans"
"1933","Short Subject (Comedy)","Hal Roach, Producer - The Music Box","Mack Sennett, Producer - The Loud Mouth, RKO Radio - Scratch-As-Catch-Can"
"1933","Short Subject (Novelty)","Mack Sennett, Producer - Wrestling Swordfish","Paramount Publix - Screen Souvenirs, Metro-Goldwyn-Mayer - Swing High"
"1933","Sound Recording","Paramount Publix Studio Sound Department","Metro-Goldwyn-Mayer Studio Sound Department, RKO Radio Studio Sound Department, Warner Bros.-First National Studio Sound Department"
"1933","Writing (Adaptation)","Edwin Burke - Bad Girl","Sidney Howard - Arrowsmith, Percy Heath, Samuel Hoffenstein - Dr. Jekyll and Mr. Hyde"
"1933","Writing (Original Story)","Frances Marion - The Champ","Grover Jones, William Slavens McNutt - Lady and Gent, Lucien Hubbard - The Star Witness, Adela Rogers St. Johns, Jane Murfin - What Price Hollywood?"
"1934","Actor","Charles Laughton - The Private Life of Henry VIII","Leslie Howard - Berkeley Square, Paul Muni - I Am a Fugitive from a Chain Gang"
"1934","Actress","Katharine Hepburn - Morning Glory","May Robson - Lady for a Day, Diana Wynyard - Cavalcade"
"1934","Art Direction","William S. Darling - Cavalcade","Hans Dreier, Roland Anderson - A Farewell to Arms, Cedric Gibbons - When Ladies Meet"
"1934","Assistant Director","William Tummel (Fox), Charles Dorian (Metro-Goldwyn-Mayer), Charles Barton (Paramount), Dewey Starkey (RKO Radio), Fred Fox (United Artists), Scott Beal (Universal), Gordon Hollingshead (Warner Bros.)","Percy Ikerd (Fox), Bunny Dull (Metro-Goldwyn-Mayer), John S. Waters (Metro-Goldwyn-Mayer), Sidney S. Brod (Paramount), Arthur Jacobson (Paramount), Eddie Killey (RKO Radio), Benjamin Silvey (United Artists), Joe McDonough (Universal), W. J. Reiter (Universal), Al Alborn (Warner Bros.), Frank X. Shaw (Warner Bros.)"
"1934","Cinematography","Charles Bryant Lang, Jr. - A Farewell to Arms","George J. Folsey - Reunion in Vienna, Karl Struss - The Sign of the Cross"
"1934","Directing","Frank Lloyd - Cavalcade","Frank Capra - Lady for a Day, George Cukor - Little Women"
"1934","Outstanding Production","Fox - Cavalcade","Paramount - A Farewell to Arms, Warner Bros. - 42nd Street, Warner Bros. - I Am a Fugitive from a Chain Gang, Columbia - Lady for a Day, RKO Radio - Little Women, London Films - The Private Life of Henry VIII, Paramount - She Done Him Wrong, Metro-Goldwyn-Mayer - Smilin' Through, Fox - State Fair"
"1934","Short Subject (Cartoon)","Walt Disney, Producer - The Three Little Pigs","Walt Disney, Producer - Building a Building, Walter Lantz, Producer - The Merry Old Soul"
"1934","Short Subject (Comedy)","Louis Brock, Producer - So This Is Harris","Warren Doane, Producer - Mister Mugg, Louis Brock, Producer - A Preferred List"
"1934","Short Subject (Novelty)","Joe Rock, Producer - Krakatoa","Pete Smith, Producer - Menu, Educational - The Sea"
"1934","Sound Recording","Paramount Studio Sound Department, Franklin B. Hansen, Sound Director - A Farewell to Arms","Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director - 42nd Street, Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director - Gold Diggers of 1933, Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director - I Am a Fugitive from a Chain Gang"
"1934","Writing (Adaptation)","Victor Heerman, Sarah Y. Mason - Little Women","Robert Riskin - Lady for a Day, Paul Green, Sonya Levien - State Fair"
"1934","Writing (Original Story)","Robert Lord - One Way Passage","Frances Marion - The Prizefighter and the Lady, Charles MacArthur - Rasputin and the Empress"
"1935","Actor","Clark Gable - It Happened One Night","Frank Morgan - The Affairs of Cellini, William Powell - The Thin Man"
"1935","Actress","Claudette Colbert - It Happened One Night","Bette Davis - Of Human Bondage, Grace Moore - One Night of Love, Norma Shearer - The Barretts of Wimpole Street"
"1935","Art Direction","Cedric Gibbons, Frederic Hope - The Merry Widow","Richard Day - The Affairs of Cellini, Van Nest Polglase, Carroll Clark - The Gay Divorcee"
"1935","Assistant Director","John Waters - Viva Villa!","Cullen Tate - Cleopatra, Scott Beal - Imitation of Life"
"1935","Cinematography","Victor Milner - Cleopatra","Charles Rosher - The Affairs of Cellini, George Folsey - Operator 13"
"1935","Directing","Frank Capra - It Happened One Night","Victor Schertzinger - One Night of Love, W. S. Van Dyke - The Thin Man"
"1935","Film Editing","Conrad Nervig - Eskimo","Anne Bauchens - Cleopatra, Gene Milford - One Night of Love"
"1935","Music (Scoring)","Columbia Studio Music Department, Louis Silvers, head of department (Thematic Music by Victor Schertzinger and Gus Kahn) - One Night of Love","RKO Radio Studio Music Department, Max Steiner, head of department (Score by Kenneth Webb and Samuel Hoffenstein) - The Gay Divorcee, RKO Radio Studio Music Department, Max Steiner, head of department (Score by Max Steiner) - The Lost Patrol"
"1935","Music (Song)","The Continental in ""The Gay Divorcee"" Music by Con Conrad; Lyrics by Herb Magidson - The Gay Divorcee","Carioca in ""Flying Down to Rio"" Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn - Flying Down to Rio, Love In Bloom in ""She Loves Me Not"" Music by Ralph Rainger; Lyrics by Leo Robin - She Loves Me Not"
